Experiment,14.4
Plot title,(b)

Number of,2
plots

Number of,1001
points

Time,N,Square root of C at cutoff distance
23.3,140.572,140.853
23.4,140.42,140.704
23.5,140.269,140.555
23.6,140.118,140.406
23.7,139.967,140.259
23.8,139.817,140.111
23.9,139.668,139.965
24,139.52,139.819
24.1,139.372,139.674
24.2,139.224,139.529
24.3,139.077,139.385
24.4,138.931,139.241
24.5,138.785,139.098
24.6,138.64,138.955
24.7,138.495,138.813
24.8,138.351,138.672
24.9,138.208,138.531
25,138.065,138.391
25.1,137.922,138.251
25.2,137.78,138.112
25.3,137.639,137.973
25.4,137.498,137.835
25.5,137.357,137.697
25.6,137.218,137.56
25.7,137.078,137.424
25.8,136.94,137.288
25.9,136.801,137.152
26,136.663,137.017
26.1,136.526,136.882
26.2,136.389,136.748
26.3,136.253,136.615
26.4,136.117,136.482
26.5,135.982,136.349
26.6,135.847,136.217
26.7,135.713,136.086
26.8,135.579,135.955
26.9,135.446,135.824
27,135.313,135.694
27.1,135.18,135.564
27.2,135.048,135.435
27.3,134.917,135.306
27.4,134.786,135.178
27.5,134.655,135.05
27.6,134.525,134.923
27.7,134.395,134.796
27.8,134.266,134.669
27.9,134.138,134.543
28,134.009,134.418
28.1,133.881,134.293
28.2,133.754,134.168
28.3,133.627,134.044
28.4,133.5,133.92
28.5,133.374,133.797
28.6,133.248,133.674
28.7,133.123,133.551
28.8,132.998,133.429
28.9,132.874,133.308
29,132.75,133.186
29.1,132.626,133.066
29.2,132.503,132.945
29.3,132.38,132.825
29.4,132.258,132.705
29.5,132.136,132.586
29.6,132.014,132.467
29.7,131.893,132.349
29.8,131.772,132.231
29.9,131.652,132.114
30,131.532,131.996
30.1,131.412,131.879
30.2,131.293,131.763
30.3,131.174,131.647
30.4,131.056,131.531
30.5,130.938,131.416
30.6,130.82,131.301
30.7,130.703,131.187
30.8,130.586,131.072
30.9,130.469,130.959
31,130.353,130.845
31.1,130.237,130.732
31.2,130.122,130.62
31.3,130.006,130.507
31.4,129.892,130.395
31.5,129.777,130.284
31.6,129.663,130.172
31.7,129.55,130.061
31.8,129.436,129.951
31.9,129.323,129.841
32,129.211,129.731
32.1,129.098,129.621
32.2,128.986,129.512
32.3,128.875,129.403
32.4,128.763,129.295
32.5,128.653,129.187
32.6,128.542,129.079
32.7,128.432,128.972
32.8,128.322,128.864
32.9,128.212,128.758
33,128.103,128.651
33.1,127.994,128.545
33.2,127.885,128.439
33.3,127.777,128.334
33.4,127.669,128.228
33.5,127.561,128.124
33.6,127.454,128.019
33.7,127.347,127.915
33.8,127.24,127.811
33.9,127.134,127.707
34,127.028,127.604
34.1,126.922,127.501
34.2,126.817,127.398
34.3,126.712,127.296
34.4,126.607,127.194
34.5,126.502,127.092
34.6,126.398,126.991
34.7,126.294,126.889
34.8,126.19,126.788
34.9,126.087,126.688
35,125.984,126.588
35.1,125.881,126.488
35.2,125.779,126.388
35.3,125.677,126.288
35.4,125.575,126.189
35.5,125.473,126.09
35.6,125.372,125.992
35.7,125.271,125.894
35.8,125.17,125.796
35.9,125.069,125.698
36,124.969,125.6
36.1,124.869,125.503
36.2,124.77,125.406
36.3,124.67,125.31
36.4,124.571,125.213
36.5,124.472,125.117
36.6,124.374,125.021
36.7,124.276,124.926
36.8,124.178,124.831
36.9,124.08,124.736
37,123.982,124.641
37.1,123.885,124.546
37.2,123.788,124.452
37.3,123.692,124.358
37.4,123.595,124.264
37.5,123.499,124.171
37.6,123.403,124.078
37.7,123.307,123.985
37.8,123.212,123.892
37.9,123.117,123.8
38,123.022,123.707
38.1,122.927,123.615
38.2,122.833,123.524
38.3,122.739,123.432
38.4,122.645,123.341
38.5,122.551,123.25
38.6,122.458,123.159
38.7,122.365,123.069
38.8,122.272,122.979
38.9,122.179,122.889
39,122.087,122.799
39.1,121.994,122.71
39.2,121.902,122.62
39.3,121.811,122.531
39.4,121.719,122.442
39.5,121.628,122.354
39.6,121.537,122.265
39.7,121.446,122.177
39.8,121.356,122.089
39.9,121.265,122.002
40,121.175,121.914
40.1,121.085,121.827
40.2,120.996,121.74
40.3,120.906,121.653
40.4,120.817,121.567
